time1 time2 time3 time4 time5
AC000078.5 0.539135258725299 0.153548086874182 -0.513100169488964 -1.63276934513126 -0.865761542100758
AC000123.4 -0.832519436049772 -0.322275738724705 -0.363440183977705 -0.165266349828881 -0.0434392853723825
AC002056.3 -0.122680944520153 -1.15744813519463 -0.839336644085798 -0.32527222109633 -0.533093624549621
AC002069.5 -1.0336965036574 -0.990813370070608 -1.14730025218288 -0.563859030757709 -0.698426267470247
AC002310.2 0.508891252237406 -1.15701925226694 -0.675723388377717 -0.794050510513154 -0.734215055419021
AC002454.1 -0.3982153335202 -1.96036697897748 -2.88198072277504 -0.737369645216574 -1.56417382886647
AC004223.1 -0.545609433844872 -0.599504426186464 -0.597907164948801 -0.123381120193125 -1.1713958818899
AC004771.1 0.340629514715446 -0.736446906296581 -0.0277695747298899 -1.63829915408797 0.36547787139094
AC005768.1 -0.862245072184012 0.0996924939494427 -0.175403076635533 -0.507392137931722 -0.714437974065509
AC007254.3 -0.464685213670858 -0.746640506269682 -0.824576271580609 -1.10304210111652 -1.60548219045196
AC007276.5 -0.07919155520905 -0.121941341148731 0.0449293240769986 -0.955949500770355 -0.0774905841460629
AC008870.1 -1.26131837039685 -0.723322944197966 -0.449519329550762 -0.804262046601863 -0.407521384159552
AC009060.2 -0.843741610212573 -0.835336597390359 -0.636055972788669 -0.522466712647274 -0.359565775748231
AC009086.2 -0.319470709951173 -1.32818915516323 -0.274372173362231 -1.44738913322823 0.0546374542163044
AC009086.4 -0.784290143309229 -1.28180958622219 -0.615865173690474 -0.429445635303335 -0.639687338912166
AC009133.4 -0.600163548169168 -0.612285283102716 -1.16734015934834 0.0350943155081802 -0.324517826811668
AC010132.9 -0.490807569480131 -0.851533908965063 -1.04537219393064 -0.480063735729463 -0.934406230928591
AC010733.1 -0.360414877902342 -0.0786175130174865 0.0930447849970751 -1.19059558512043 -0.494057006848765
AC011893.3 -1.29666762157753 -1.46621845303414 -1.39742554110161 -1.11257789278677 -1.40992810901849
AC011912.1 -0.827925582994734 -0.404181519507173 -0.527584632078112 -1.67945652131052 -0.226133387258697
AC015801.2 -0.811510168469066 -0.42320535215339 -0.379975827601952 -0.72724414541228 -0.313136751054488
AC015802.3 -0.762592605372969 -0.507520875467981 -0.160351615269868 -0.945774987335679 -0.521277684824544
AC015849.1 -0.13511801144962 -0.117856225255553 -0.23310808710059 -1.18305013431842 -0.134321440916958
AC015911.1 -0.795138660276722 -0.590854879992527 -0.336743421049677 -0.199002525148386 -0.417320201744278
AC019201.1 -0.401553413091961 -0.629846298963453 -1.05259419549187 -0.654722127608704 -1.00606205521902
AC022098.3 -0.248545152900143 -1.28342273030462 -0.818420984965841 -0.666342398296229 -0.2706393904817
AC023355.2 0.955409685769477 0.0228495816453875 -0.562770887570503 -0.402361220010566 -0.111943147715907
AC026250.4 0.680990983229675 0.151651794926187 -0.397137113464522 -0.382698288312708 -1.42344066430264
AC026979.1 -0.8659230471651 -0.334305449731008 -0.305251338924171 -0.72550856436634 -0.0496313967473795
AC039057.1 -0.504150857978315 -0.128605787990981 -0.517888817695477 -1.04160231223188 -1.06552882080857
AC073046.25 -0.35511537201761 0.0934904079699202 0.0903294711665602 -1.23766326751119 -0.442022411242812
AC083863.7 -1.07202238224352 -0.726165825900136 -0.22068911523584 -0.122572504416907 -0.692260529669612
AC083884.8 -0.858798531946295 -0.201023333326838 -0.665738592653694 -0.443294856467608 -0.167869783921672
AC083899.3 -0.846959410583924 -0.27889663309137 -0.670901931531371 -0.263198930850648 -0.259265021213676
AC090673.1 -0.315322374552277 -1.61515900491964 -1.43238211773654 -1.94494339044848 -1.90335174178708
AC093391.2 0.00552710749571392 -0.582678800006661 -0.634597026364876 -0.423526794206581 -1.09666999421484
AC093818.1 -0.940089651139654 -1.41339415645893 -0.427422112223399 -1.09067684004494 -1.51395839053835
AC099524.1 -0.101436864724398 -0.826969255296692 -0.762039183700282 -0.969115607416113 -0.510767048888972
AC103796.1 -0.781121883566159 -0.590196827305644 -1.2021221025556 -0.80731362153112 -0.976329615896926
AC106000.1 -0.670387149129535 -1.47615777452565 -0.216486629664836 -0.0444818616177291 -0.748609281027629
AC119396.1 -0.656349176191205 -0.861379344887513 -0.704752342838351 -0.988942183240735 -1.09170899557967
AC124312.1 -0.345947149781163 -0.226316701428794 -0.602501709133562 -0.967818287209594 -0.425473420470287
AC124798.1 -0.363796087534446 -0.636556724383023 -0.742742878752913 -1.17237443444365 -0.732117764228715
ACPL2 -0.749516030668586 -0.848628684804267 -1.36059254453809 -1.21803122361229 -0.931708583364831
ADM 1.07385192763334 0.637707160849519 -0.546366838567196 -1.52685592599485 -2.14109165422189
ADORA2A -0.8659230471651 -0.320773129639204 -0.165985094984978 -0.794144235254588 -1.02492100114757
ADRBK2 -0.271638635359575 0.0235059437810164 -0.692829076634928 -0.900195704267518 -1.25029660458589
AE000658.5 0.0656878490801896 0.482016008611809 -0.22730593951576 -0.678886612246097 -1.06908670247632
AEBP1 -1.31941867434778 -2.38575292557928 -1.60199429707108 -1.64510724402542 -1.04343975303621
AGPAT5 -0.787565663250585 -1.33596184431282 -0.924676698767982 -0.75286478608222 -0.978021100944648
AIF1 -0.400534328109138 -0.972052522825492 -1.32775576238092 -0.522007300327888 -0.906397182741276
