mock6h	mock12h	mock18h	mock24h	mock24h_r	mock30h	HIV6h	HIV12h	HIV18h	HIV24h	HIV24h_r	HIV30h
5S_rRNA	347.210530755128	253.480160147574	324.782223952916	283.498279671356	269.549292933828	284.017569686307	493.687582572509	420.183238353325	468.553564331573	312.072432784544	259.943720398301	326.827789713087
7SK	292.614540061441	432.681558016189	521.282642541706	393.739124708118	333.673235893951	599.966653595075	396.137145751163	463.916010089525	352.338613842825	347.412383138167	251.748844319669	323.186090980753
A1BG	1033.40719810128	890.424259093629	960.069985021529	1120.82378204982	978.98402695296	740.388468665638	1481.38575538864	1263.17011423387	1504.57831675065	1216.60687635943	1605.95211631374	1422.06868346264
A2LD1	121.333000630265	81.0962067630917	92.9880408603143	107.617847513469	77.1774640534615	73.3848470804626	192.907069040024	101.235610001383	153.24168316055	121.068415397102	158.53212892522	138.369880314785
AAAS	3686.13004004162	4516.33080401131	4869.09287520048	4691.4490148054	4927.18680064049	3897.92900476623	4314.41302474191	4547.65207428366	4479.32069282698	4438.43235026478	4742.54093541046	4181.56589788898
AACS	1252.86167049747	1044.3037203069	1006.8103758509	1232.74769342302	1095.01782849985	1028.05815926158	1599.2591998811	1396.63046935986	1546.01930684741	1527.0935830377	1861.01763426119	1903.68334081385
AADACL1	626.613541952235	700.509734178521	681.535411099555	615.903881118081	581.008444454423	692.606045481905	597.33492169519	945.730512493523	908.188415792885	821.977430743969	814.122215215846	793.875652134965
AAGAB	8148.01414222377	10531.264680297	8665.55727317806	8287.32024260755	8598.53699519861	9938.99250728109	6031.70717295103	8896.04680881239	7154.96722733538	8559.74370340876	8658.66734148712	8288.49164327903
AAK1	1367.40619999207	892.37210037481	972.470496874219	952.517148405904	842.593418117144	768.66786197846	1672.42202749711	2871.48049549792	2302.76782165787	1525.41072825895	656.370850702164	1128.00151082664
AAMP	10144.5145862184	11608.4209087899	12653.7526621088	12638.8882554709	12401.1885967703	10017.0046267647	10189.7945424609	11005.0220251253	12148.6065339953	11979.3046138165	13430.1339382711	11264.6699322793
AARS	18825.2771065147	14644.1315455098	15502.0548461191	15976.4088006296	15958.5406705104	15813.3051043997	21026.0222326988	14328.7126770765	13609.8518804507	15160.741573032	15311.8823578272	15236.8528245729
AARS2	3615.47640502626	4574.76604244672	4841.4301949137	4753.72246925364	4679.85159208002	3816.0162793084	3757.56261455339	3882.6123385711	4252.29613838385	3873.83457199617	3536.86979234161	3872.93193032364
AARSD1	2646.66519761867	3580.39306840403	3897.08352305495	3542.75624018571	3855.40089687845	3260.17992798742	2916.19009696928	2749.33033995888	3259.51415823966	3375.70955748795	4102.31624176727	3478.71804254845
AASDH	2215.24982017639	2238.3304256706	2204.89059792624	1990.96907798884	2123.0365965907	2687.76600127616	2084.97908322072	2106.91100342022	1952.3211880135	2261.65969395944	1793.40990661247	2100.33507235991
AASDHPPT	10942.0442541948	12061.2940066643	11310.6818399097	9530.26473206787	10411.3106842776	11276.9003564256	7521.38363524367	8070.40223896516	8350.44970251808	9961.5617341025	8835.88153668756	7958.91790800278
AATF	12605.6162059201	17561.0238640777	14964.0634088178	14273.9872013215	14645.5266003746	12313.4863940646	11547.3714548913	12817.6700122603	11935.9962369771	13089.9887677876	14249.6215461344	11915.623580684
AB019438.63	105.275356308592	128.818318152016	207.45430411592	221.224825223109	192.193425235903	208.930904683298	168.519459834688	182.669047027411	176.664851476112	140.421245352658	88.875682256841	125.623934751615
AB019439.2	39.9742694004558	60.6438733106955	33.8471381782512	46.185926233441	43.5887320267308	68.5090896127347	166.487159067577	246.760178020118	191.979999990133	137.896963184542	118.582108041885	89.2069474282718
AB019441.29	5081.00407678426	5352.92863427838	4410.27393665092	4396.07087276033	4436.58774497734	5195.85564267538	4259.5409040299	4736.9094140386	4691.93098984516	4454.41947066285	5246.52581424638	4136.04466373481
ABAT	776.484888954514	521.308336309906	611.901767619061	587.291753398616	574.901402267745	587.289684178982	865.598622953892	1198.32496993537	1517.19079199749	1313.37102613721	1045.62746443722	1371.08490120996
ABCA1	12831.493736045	15602.4694558507	14955.4784390736	10059.5890948779	9596.02055235607	9889.25978111024	12878.5284573493	19000.579119792	16412.5240585166	11306.1627023189	6531.07263957207	8252.07465595569
ABCA2	628.754561195124	347.950462284833	600.455141293501	699.215664771818	601.36525174335	472.221807940604	826.984908378776	577.018005959009	1352.3277226995	1258.67824582803	1380.59302415134	1361.07022969604
ABCA5	2009.71197285898	1321.87110287513	1222.38850498229	1088.00398848925	1157.10609073108	1454.199361941	1875.65210420825	1967.41854184785	1907.2766335605	1794.66749285799	1831.31120847615	1817.19299592091
ABCA7	1115.83643895253	1651.05627939465	2037.00674515135	2479.8998487244	2434.49574811129	1743.81935552404	1627.71141062066	3388.73362327436	4386.52891065379	3208.26550700293	3533.79671381212	3576.1334836384
ABCB10	2246.29459919829	2396.10556944623	3301.8589541258	3475.43358672813	3516.4600555178	3876.47567190822	2125.62509856295	1971.94262168263	2777.53742559252	3582.70069527347	3681.30448322751	3502.38908430863
ABCB6	462.825569871172	472.612304280391	394.41586743341	372.700795502629	392.707977031841	342.526659299042	589.205718626744	517.450954801081	496.481188092435	394.532316942999	461.742543834635	465.212341541792
ABCB7	2932.49126654444	3677.78513246306	3799.78719928769	3640.37408769918	3540.88822426451	4419.63505381311	2914.15779620217	3510.1297655076	3336.99079189882	3685.35483677684	3523.55311871383	3493.2848374778
ABCB8	3859.55259871568	4113.12765880692	4568.61893415451	4313.60062227482	4922.09759881826	3254.32901902614	5176.10854999714	5588.1904362829	6345.06613827037	5194.03414592083	5625.53883288315	5444.32493332592
ABCB9	720.818388639381	875.815449484774	1033.51917061054	1020.68133503169	1003.41219569967	759.89149853655	644.077839338752	471.456143147491	782.063663324476	728.578990523678	840.755562471404	738.339746466867
ABCC1	5722.23934002974	8526.93600196215	9708.15415433121	10297.7429814841	9693.73322734292	8081.32891207676	6519.45935705776	6787.07159249943	8373.87287083364	8847.51187057401	7303.43970998322	8880.26768728337
ABCC10	3130.53554651174	2860.6657150078	2732.38929442916	2444.55545565918	2428.38870592462	1642.4036001953	3885.5975628814	4572.53451337495	4783.82188092928	3363.92957403675	2732.74757712576	3159.15897878612
ABCC2	182.352049052621	172.64474697858	147.359515906727	104.25171484059	113.819717173531	91.9127254578286	89.2597299173439	159.294634547718	170.358613852692	121.068415397102	104.241074904278	101.042468308358
ABCC4	2578.1525818462	2662.95982496797	2771.49860104149	2346.09607497749	2480.29856451138	2063.66904540699	2339.01667910965	2396.45211284609	2936.99514835615	3257.0682955865	2370.12431064626	2507.29490569827
ABCC5	4621.75544918442	4157.92800827407	3990.56430471369	3399.69560158838	3484.90700421997	3414.25386396762	4176.21657257833	5218.72391644259	5155.88990071109	4291.18255712468	3413.94665116212	3906.61764359774
ABCD1	780.766927440293	622.596082931297	679.627640045294	712.68019546333	663.45351397458	449.793323589056	892.01853292634	701.43020141544	1040.61940588471	865.731654991312	947.28895149363	1033.31734378595
ABCD3	8585.8525773947	10255.6451390099	10897.6494066624	10394.5192958293	10967.0515232654	12008.2639765848	6405.65051409952	9101.13842798906	8892.78613813223	10481.5638607344	9280.45356395339	9167.96188713775
ABCD4	6114.04586147855	6352.17121152401	6334.26104487222	6414.06741015083	6568.96330849252	5992.55441290213	7031.59915036983	7225.15332316722	6758.57514814895	6263.48835781263	6387.662308196	6606.02682894056
ABCE1	11679.6253833703	12775.177836217	11649.3112020409	10065.4798270555	10820.4825107851	11335.4094460384	8324.14243825266	7127.13159341368	8159.46079163735	9115.92720778365	8138.29271049394	6964.7341540755
ABCF1	15624.4533383946	21895.9446353451	21522.0264078369	20945.6621589661	21697.1246452592	19253.6395736284	14002.3907815619	15771.1401310654	15358.4814843163	16414.4683831963	16931.394742867	15782.19720974
