mock6h	mock12h	mock18h	mock24h	mock24h_r	mock30h	HIV6h	HIV12h	HIV18h	HIV24h	HIV24h_r	HIV30h
ABCF2	16889.7957109424	22036.1892075901	18388.5124512147	16592.4110797664	17699.0476937138	13630.9160618446	13973.9385708223	14867.0781774153	15085.5114843311	14589.4123756484	14465.7614027083	12625.7548334892
ABCF3	3728.95042489942	4971.15174316698	4751.76495536348	4349.78654850825	4725.65440848011	3841.37021814058	5233.01297147625	5733.71500430164	5213.54693041093	5171.31560640778	5360.22971983741	5312.3133542788
ABCG1	331.152886433455	2483.75842709936	2708.54215625091	1906.81576116688	2110.82251221734	1406.41693875727	477.429176435618	2246.40346499258	3182.93841566955	2239.78258183577	2092.52288348257	1888.20612120143
ABCG4	80.6536350153602	103.496381496669	150.221172488117	128.656176718958	127.051641911334	114.341209809377	136.002647560906	281.444790086759	364.951089089666	337.315254465703	252.773203829498	305.888022002165
ABHD10	5435.3427614825	5139.6400139891	5246.83154394397	5020.48848357924	5610.15768518402	6961.85499748642	4450.57717613837	3974.60196187828	4391.93425718816	5300.05399698169	5561.00418376391	5452.51875547366
ABHD11	548.46633958676	677.135638804354	959.116099494399	1056.86726126513	1039.0366084553	891.536950165203	735.531373858763	604.162484967685	843.32425738056	913.693016185516	1053.82234051586	953.199971674592
ABHD12	2496.79385061639	2398.05341072741	2385.17496255382	2455.49538684603	2540.35114601372	2228.46964781619	2863.35027702438	2295.41432986935	2861.3202968751	3033.24861001356	3552.23518498904	3368.55665589534
ABHD13	4051.17382095431	3266.79062213395	2868.79492480876	2721.41986800342	2785.6506738453	3682.42052469265	2788.15514864126	3039.62546269055	2662.22336619283	2961.72728191693	2413.14741005908	2361.6269564049
ABHD14A	551.677868451095	682.005242007305	614.763424200451	486.30777321227	563.705158258834	402.010900405323	725.369870023207	632.060977282157	849.63049500398	772.333214771022	967.776141690213	650.938976890843
ABHD14B	2194.91013736894	1667.61293028469	1920.63271084149	2578.35922940609	2243.14175959537	2527.84115633468	2934.48080387328	2714.64572789224	3071.2279206261	3396.74524222225	3629.06214822622	3805.56050377545
ABHD15	1259.28472822614	1340.37559504635	1520.954674974	1576.93475922482	1441.08355241162	1526.36057246337	1650.06671905889	1417.74284192217	1683.8556434736	1834.21458015847	1646.92649670691	1851.78913387809
ABHD2	6909.43451021207	4512.43512144894	5594.04587581931	5683.61662013626	5086.98773785858	6089.09441076313	6856.82128439825	5353.69229818017	5435.16613831971	6084.26432387637	4665.71397217327	6252.78205190414
ABHD3	4723.45386322169	4745.20215455003	5009.31404768859	5564.11891024908	5668.17458595746	6619.57682325194	4334.73603241302	5854.35713322909	4945.9822769601	6242.45267307833	6969.49850977894	6562.32644415254
ABHD4	206.973770345853	242.767033101081	284.719031813454	363.443930652214	290.923940587203	471.246656447058	320.942017368042	878.62332827763	641.524653431106	758.028949151698	757.782442175246	1048.79456339837
ABHD5	1865.19317396393	1989.00674167949	2223.96830846885	2129.82205074507	2183.08917809304	2336.71146359975	1694.77733593534	1823.40200044071	1706.3779207001	2051.30284661644	2020.81771779453	2012.0238781008
ABHD6	461.755060249727	569.030447698831	474.542251712334	493.881571726246	427.314549423019	387.383628002139	481.493777969841	693.890068357474	737.919999960532	766.443223045417	672.760602859431	637.282606644589
ABHD8	482.094743057179	482.351510686294	544.175895192828	752.23225436965	733.684499121381	650.674531259445	768.048186132546	649.403283315478	970.349900938029	790.003189947833	1144.99033689065	892.201517907993
ABI1	7456.4649267704	6962.81945317412	6701.5069728173	6727.1177487285	6708.40743842166	8111.55860837667	7003.14693963027	6414.58901943593	5306.33871258412	5889.89459693145	5580.46701445067	5876.77665779062
ABI2	6863.40259648994	5791.19292254401	7189.89636270789	7427.27334468718	7054.47316233344	8338.76890637278	5808.15408856878	6649.08715753866	6211.73425708948	7208.41131607735	5750.5106930823	6818.15578009903
ABL1	9645.65710262511	9903.08586711624	10189.8663455319	10470.2572809691	10579.2543444113	8286.11072572132	11831.8935622869	11422.7453965366	12742.2937616859	10407.5182504697	8510.13521256191	9414.68697625343
ABL2	2812.59418894262	2568.48952283071	2991.84615780854	2726.46906701273	2476.2272030536	2583.42479146678	2298.37066376742	2093.33876391588	2255.92148502674	2080.75280524446	1585.46492611716	2011.11345341772
ABLIM1	770.061831225845	803.745322081093	829.387667804712	747.183055360332	672.614077254597	656.525440220718	1105.41011347304	1980.2367680464	877.558118764843	626.766276409667	375.69634500899	522.569096576058
ABLIM2	908.15757239223	895.29386229658	690.120380843725	487.149306380489	591.186848098887	379.582416053774	1052.57029352814	969.858938279014	1107.28534647516	938.935837866675	1060.99285708466	976.871013434766
ABR	6984.37018371321	7481.91915460875	8168.58291354331	8336.97069953252	8221.93606035345	6757.07318384187	7913.61768329617	9087.56618848471	9976.55811827151	10156.7728884368	9194.40736512775	9502.08774582945
ABT1	6299.24402598851	7970.82731618508	7352.05690231999	7370.89062241647	7702.83747448579	6478.17985668781	6767.40005064535	6918.26990770803	6592.81118776189	6457.85808475755	6505.46365182635	6214.54421521462
ABTB1	1539.75824904469	1329.66246799985	1495.19976574149	1783.11038543861	1662.97275186093	1579.01875311484	2015.88085713894	2172.51016102452	2264.02950482828	2244.831146172	2811.6232593826	2469.96749369184
ABTB2	228.38396277475	132.714000714377	127.327919836996	131.180776223616	110.766196080192	138.719997148016	231.520783615141	238.466031656356	165.854158407391	123.592697565218	116.533389022227	145.653277779454
AC000036.5	145.954721923496	201.862366196289	148.313401433857	158.951370774862	186.086383049225	169.924844941475	178.680963670245	273.904657028794	314.501188102302	203.528299555557	282.479629614542	251.26254101715
AC000068.5	293.685049682886	217.445096445733	223.670358077131	287.705945512454	282.781217671632	294.744236115309	475.396875668507	371.172373476549	355.942178199065	409.678009951694	429.987399029933	473.406163689544
AC000078.5	549.536849208205	379.115922783723	385.830897689239	347.454800456043	315.352109333916	348.377568260316	798.532697639217	421.691264964919	270.357524738359	195.955453051209	58.1448969619679	191.174511933633
AC000123.4	148.095741166386	176.540429540941	120.650721147086	100.885582167712	122.980280453549	117.266664290014	83.1628276160098	141.1983152086	93.7828712825861	83.204182875363	118.582108041885	113.788413871529
AC002055.4	140.602173816272	66.4873971542372	71.0486737363231	49.5520589063192	69.0347411378904	55.8321201966422	207.133174409804	132.150155539042	101.890891084127	85.7284650434789	51.9987399029933	76.4610018651016
AC002056.3	314.024732490338	506.699526701052	694.889808479375	707.630996454013	810.02252645486	841.804223994379	288.42520509426	227.155832069408	388.374257405227	577.963487826092	631.786222466266	581.74670097649
AC002069.5	232.666001260529	228.158223492227	179.791623829149	154.743704933764	175.907979404761	273.290903257306	113.647339122681	114.807849505721	81.1703960357451	111.812714114011	111.411591473081	168.413894856544
AC002115.6	2611.33838011099	2432.14063314807	3046.21763285494	3127.88038825346	3145.96616285932	2910.10054180455	2700.76621565547	2761.39455285163	3368.52198001592	3596.16353350342	3636.23266479503	3954.87015180116
AC002126.5	566.665003151323	760.892813895119	732.091344037447	759.806052883625	871.092948321643	727.711499249546	877.792427556561	992.47933745291	999.178415787951	991.94576339711	1112.21083257612	1036.0486178352
AC002310.1	460.684550628282	635.257051258971	667.227128192604	783.368981593773	697.042246001311	900.313313607113	735.531373858763	725.55862720093	894.675049456984	901.071605344936	890.949178453029	789.323528719547
AC002310.2	198.409693374294	192.123159790386	221.762587022871	259.935350961209	223.746476533741	236.235146502574	282.328302792925	86.155343885452	138.827425735589	124.43412495459	155.459050395733	142.01157904712
AC002454.1	56.0319137221286	109.33990534021	213.177617278701	168.208235625277	143.337087742477	199.179389747842	42.5168122737821	28.0963193391173	28.9187128702614	84.045610264735	103.216715394448	67.3567550342658
AC002472.9	103.134337065702	96.6789370125365	92.0341553331842	148.011439588007	136.212205191352	121.167270264196	233.553084382252	135.166208762228	151.43990098243	167.346921812562	202.579587847872	164.772196124209
AC003002.1	500.293406621742	371.324557659	312.381712100226	266.667616306965	277.6920158494	325.949083908767	597.33492169519	384.744612980887	455.941089084732	283.463901545896	285.552708144029	348.677982107093
AC003665.1	202.691731860073	285.619541287054	296.165658139015	289.389011848893	287.870419493864	368.855749624773	119.744241424015	162.310687770904	279.36643562896	374.338059598071	310.137336379928	341.394584642424
AC003963.1	320.447790219007	234.001747335768	385.830897689239	392.897591539898	322.476991885041	486.849080343788	276.231400491591	376.450466617125	565.84980195006	528.319271853145	402.329692264547	510.733575695971
AC004041.2	150.236760409275	176.540429540941	178.837738302019	146.328373251568	180.997181226993	190.403026305932	123.808842958237	135.166208762228	135.223861379349	131.165544069566	186.189835690606	158.399223342624
AC004049.3	178.070010566842	228.158223492227	203.6387620074	217.858692550231	225.782157262634	223.558177086482	229.488482848029	253.546297772287	199.187128702614	238.026822519809	190.287273729922	235.785321404729
AC004051.1	138.461154573382	140.5053658391	158.806142232288	148.011439588007	150.461970293601	151.396966564109	125.841143725349	118.577916034704	93.7828712825861	105.922722388407	77.6077276487208	87.3860980621046
AC004057.1	57.1024233435735	161.931619932086	154.990600123768	137.071508401153	161.658214302512	106.539997861012	97.3889329857894	92.941463637621	119.007821776268	104.239867609663	216.920620985479	138.369880314785
AC004066.1	375.043780912694	394.698653033168	409.678035867491	414.777453913607	390.672296302949	441.016960147146	282.328302792925	383.236586369294	264.952178203998	346.570955748795	384.915580597452	267.650185312654
AC004067.4	107.416375551481	105.444222777849	134.959004054036	109.300913849908	120.944599724656	130.918785199652	89.2597299173439	129.888115621652	91.0801980154058	130.324116680194	163.653926474366	131.9969075332
AC004074.3	710.113292424933	694.666210334979	630.025592634532	641.991409332887	646.150227778991	601.916956582166	546.527402517405	539.317340669181	409.995643542669	527.477844463773	538.569507071818	487.062533935798
AC004086.1	36923.3127666614	46464.0667148759	39660.1597062148	38500.8855811944	38087.4080339393	41762.0863476474	36166.6629476786	37841.8636050363	30679.9362359609	35803.479716495	41716.797442692	32142.5287647519
AC004148.1	246.582626339312	245.688795022852	186.468822519059	201.869562354059	200.336148151474	203.079995722025	361.588032710269	258.824390912863	350.536831664705	193.431170883093	201.555228338042	263.098061897236
AC004223.1	290.473520818551	290.489144490006	312.381712100226	223.749424727768	233.924880178205	284.992721179853	199.003971341359	191.717206696969	206.394257415094	224.563984289857	196.433430788897	126.534359434699
AC004381.6	811.811706462193	551.499876168205	729.229687456057	908.757423658487	943.359614197336	1244.5417908287	1097.28091040459	794.927851334213	984.76415836299	1251.10539932368	1114.25955159577	1317.36984490803
AC004383.4	267.992818768209	174.59258825976	155.944485650898	179.989699980351	158.604693209172	162.12363299311	408.330950353831	246.006164714321	231.619207908776	197.638307829953	252.773203829498	273.112733411156
AC004410.1	3067.3754788465	3078.82393850002	3422.04853054419	3735.46733570798	3977.54174061202	2505.41267198313	4259.5409040299	3396.27375633232	4764.90316805902	3446.3894581952	4069.53673745274	3838.33579236647
AC004447.1	1397.38046939253	1575.09046942861	1555.29455395068	1602.1807542714	1671.1154747765	1528.31087545047	1926.45962338603	1427.54501489752	1985.65415830872	1490.9122052947	2123.25366877744	2009.29260405155
AC004448.3	9484.01014978693	11674.64751235	11177.1378661115	11770.4260258683	11949.2674749561	9713.73251227205	11396.9811981251	9055.14361633545	9074.76613812237	9163.04714158849	11526.8739690086	8788.31479429191
AC004449.1	266.922309146764	252.506239506984	189.330479100449	220.383292054889	223.746476533741	137.744845654471	237.617685916475	154.770554712938	335.221683150683	275.891055041548	356.233514322237	216.666403059974
AC004453.8	7242.36300248141	7889.99190301611	6153.97668024464	6054.73274732108	6158.77364162062	6593.24773292619	7198.24781327296	7061.53243580937	4566.70712846581	5905.04028994015	8076.8311399042	5471.63767381842
AC004460.1	697.267176967595	520.334415669316	493.619962254935	572.985689538884	517.902341858747	655.550288727173	548.559703284516	445.819690750408	416.301881166089	508.966441897589	358.282233341896	590.850947807326
AC004507.1	184.493068295511	151.218492885593	177.883852774889	149.694505924447	141.301407013584	139.695148641562	150.228752930685	193.979246614359	202.790693058854	180.809760042514	145.215455297442	216.666403059974
AC004593.3	104.204846687147	88.8875718878141	139.728431689687	104.25171484059	104.659153893514	119.216967277105	119.744241424015	83.8933039680623	135.223861379349	135.372681016426	101.16799637479	90.1173721113554
AC004596.2	286.191482332772	232.053906054588	217.947044914351	261.618417297648	233.924880178205	245.98666143803	390.040243449829	458.63791694895	359.545742555305	247.282523802901	309.112976870098	333.200762494672
AC004687.1	1541.89926828758	1344.27127760871	1123.18441016077	1249.57835678741	1172.37369619777	1031.95876523577	1202.96055029438	1076.17481439633	1215.39227716237	881.71877538938	744.465768547467	756.548240128538
AC004771.1	78.5126157724705	108.36598469962	113.973522457175	134.546908896494	146.390608835816	76.3103015610994	99.4212337529009	65.0429713231484	111.800693063787	45.3399503536235	44.8282233341895	98.3111942591076
AC004797.1	2761.20972711327	3157.71151038784	2982.30730253723	2876.26197095581	3021.78963839686	3295.28538175506	2080.9144816865	2384.38789995335	2135.20207909269	2443.40801006379	2405.97689349027	2124.00611412008
AC004803.1	118.12147176593	143.427127760871	213.177617278701	245.629287101476	220.692955440402	236.235146502574	199.003971341359	243.744124796932	261.348613847758	349.936665306283	292.723224712833	338.663310593174
AC004841.1	113.839433280151	107.39206405903	112.065751402915	89.9456509808579	82.2666658756935	94.8381799384653	87.2274291502325	95.9575168608072	182.070198010472	133.689826237682	225.115497064112	129.265633483949
AC004863.6	2847.9210064503	1974.39793207063	1967.37310167086	1836.96850820466	1720.98965263438	1435.67148356364	3131.61397828309	2061.67020507242	2517.17990085416	1852.72598272466	1666.38932739366	1568.6470574391
AC004893.11	611.626407252006	701.483654819111	509.836016216146	530.067497959686	562.687317894388	406.88665787305	501.816785640955	448.081730667798	683.866534616929	526.636417074401	551.886180699596	533.494192773061
AC004967.8	385.748877127143	425.864113532057	418.263005611661	478.733974698294	549.455393156585	413.712718327869	442.880063394725	463.916010089525	649.632673232646	608.254873843484	823.341450804309	594.492646539661
AC004980.7	393.242444477257	292.436985771186	263.733550216593	254.886151951891	284.816898400524	241.110903970302	361.588032710269	285.968869921539	364.951089089666	222.881129511113	199.506509318384	275.844007460406
AC004985.13	913.510120499455	1007.29473596446	1146.07766281189	1138.49597858243	1112.32111469544	813.524830681557	849.340216817002	919.340046790644	1220.79762369673	980.165779945903	1297.61990385518	1015.10885012428
AC004987.9	2232.37797411951	2457.46256980342	2527.3039060962	2678.50167642422	2701.16992359625	2346.46297853521	2735.31532869636	3791.37672856972	3876.6245542458	3040.8214565179	2836.2078876185	2975.25319280323
AC005035.1	2716.24832301259	1907.1974078699	1658.31419088072	1533.1750344774	1613.09857400306	1784.77571825295	2135.78660239851	1416.98882861637	1583.85673258793	1787.09464635364	1822.09197288768	1632.37678525495
AC005076.5	113.839433280151	83.0440480442723	92.9880408603143	110.983980186347	104.659153893514	123.117573251287	180.713264437356	125.364035786873	126.214950488748	196.796880440581	186.189835690606	189.353662567466
AC005077.14	623.4020130879	343.080859081882	440.202372735652	493.040038558026	478.206567645338	369.830901118318	778.209689968103	678.055788935747	882.963465299203	505.600732340101	487.351531580362	471.585314323377
AC005154.6	544.184301100981	266.141128475248	335.274964751347	373.542328670849	377.440371565145	510.252716188882	560.753507887185	498.600622156167	489.274059379955	425.665130349762	516.033597855578	477.958287104962
AC005197.1	646.953224759687	690.770527772618	661.503815029824	668.920470715913	748.952104588077	512.203019175973	918.438442898788	795.681864640009	926.206237574086	551.037811366188	820.268372274822	700.101909777356
AC005224.2	145.954721923496	117.131270464933	98.7113540230946	94.1533168219558	107.712674986853	84.111513509464	89.2597299173439	124.610022481076	107.296237618487	116.019851060871	93.9974798059866	101.952892991442
AC005251.3	1796.68055819146	2040.62453563077	1709.82400934575	1751.13212504626	1644.6516253009	1862.7878377366	1412.28752930685	1690.69565862052	1310.88673260273	1629.74772454108	2122.22930926761	1522.21539860183
AC005258.1	861.055149048657	802.771401440502	699.659236115026	580.55948805286	704.167128552436	534.631503527521	898.115435227674	669.761642571984	742.424455405832	506.442159729473	691.199074036354	675.520443334099
AC005304.2	106.345865930037	87.9136512472238	94.8958119145744	79.0057197940037	75.1417833245687	56.8072716901878	138.034948328017	117.823902728907	130.719405934049	114.336996282127	78.63208715855	93.7590708436897
AC005307.1	540.972772236647	1021.90354557332	979.14769556413	1002.16760533086	957.609379299586	982.226039064942	473.364574901395	929.142219765999	887.467920744503	899.388750566192	1018.99411718167	989.616958997936
AC005324.4	1281.76543027648	1275.1229121268	1103.15281409104	1440.60638597325	1558.13519432295	1209.43633706106	1190.76674569171	888.425501252985	814.495742530638	943.142974813535	1302.74170140433	1253.64011709218
AC005329.2	1085.86216955208	983.920640590297	931.453419207627	1047.61039641471	980.001867317406	725.761196262454	999.730473583243	675.793749018357	796.477920749437	767.28465043479	869.437628746618	873.082599563237
AC005332.1	545.254810722426	399.568256236119	332.413308169957	309.585807886162	289.906100222756	299.619993583037	763.983584598323	883.147408112409	779.360990057296	606.57201906474	422.816882461129	534.404617456144
AC005332.2	1798.82157743435	1707.54367654889	1377.87184590449	1337.93933945046	1245.65820243791	1518.55936051501	1517.96716919665	2223.78306581868	2124.39138602397	2175.8341002435	1394.93405728895	1926.44395789094
AC005412.1	371.83225204836	311.915398582992	366.753187146639	347.454800456043	319.423470791702	381.532719040865	245.74688898492	285.968869921539	252.339702957157	274.208200262804	251.748844319669	213.024704327639
AC005481.5	292.614540061441	320.680684348305	236.070869929822	312.110407390821	252.24600673824	387.383628002139	546.527402517405	659.959469596629	591.074752443742	499.710740614497	497.595126678654	582.657125659574
AC005484.1	79.5831253939153	70.3830797165984	105.388552713005	109.300913849908	122.980280453549	127.018179225469	70.9690230133415	87.6633704970451	178.466633654232	148.835519246378	147.2641743171	144.74285309637
AC005594.2	228.38396277475	224.262540929866	268.502977852243	225.432491064207	242.067603093776	181.626662864022	316.877415833819	276.92071025198	300.987821766401	219.515419953625	233.310373142745	230.322773306227
AC005674.1	381.466838641363	175.566508900351	139.728431689687	162.31750344774	109.748355715746	175.775753902748	347.36192734049	221.123725623035	218.105841572875	162.29835747633	157.507769415391	161.130497391875
AC005682.5	432.851300470716	469.69054235862	384.877012162109	277.607547493819	275.656335120507	277.191509231489	288.42520509426	222.631752234628	249.637029689977	197.638307829953	247.651406280352	167.50347017346
AC005682.6	159.871347002279	157.062016729135	106.342438240135	84.0549188033211	58.8563374934266	101.664240393284	133.970346793794	75.5991576043002	82.9721782138653	69.7413446454112	73.5102896094045	70.0880290835165
AC005726.11	452.120473656724	520.334415669316	497.435504363455	429.083517773339	538.259149147675	511.227867682428	540.430500216071	482.012329428643	468.553564331573	478.675055880198	504.765643247457	491.614657351216
AC005726.6	889.958908827668	643.048416383693	654.826616339913	659.663605865498	539.276989512121	581.438775217709	930.632247501457	512.172861660505	633.416633629565	491.296466720777	460.718184324806	499.808479498968
AC005768.1	217.678866560301	190.175318509205	189.330479100449	201.869562354059	201.353988515921	270.365448776669	119.744241424015	203.781419589714	167.655940585511	168.188349201934	119.606467551714	164.772196124209
AC005795.1	108.486885172926	143.427127760871	117.789064565696	125.290044046079	140.283566649137	107.515149354558	99.4212337529009	158.540621241921	158.647029694911	157.249793140098	118.582108041885	131.086482850117
AC005822.1	763.638773497175	933.276767279602	771.20065064978	798.516578621725	743.862902765845	729.661802236637	574.979613256964	851.478849268954	753.235148474553	683.983338886963	612.323391779513	587.209249074992
AC005840.2	136.320135330493	78.1744448413208	100.619125077355	132.863842560055	81.2488255112471	123.117573251287	176.648662903133	93.6954769434175	138.827425735589	131.165544069566	117.557748532056	193.905785982884
AC005884.1	172.717462459617	188.227477228025	176.929967247759	159.792903943081	206.443190338153	213.806662151026	184.777865971579	178.898980498428	219.006732661935	164.822639644446	217.944980495308	159.309648025708
AC005971.1	188.77510678129	254.454080788165	297.119543666145	217.858692550231	245.121124187115	312.296962999129	229.488482848029	222.631752234628	362.248415822485	301.97530411208	297.845022261978	308.619296051416
AC005971.3	260.499251418095	298.280509614728	320.966681844396	249.836952942574	219.675115075956	361.054537676408	205.100873642693	238.466031656356	208.196039593214	259.903934643481	170.824443043169	229.412348623144
