Ratio_6h	Ratio_12h	Ratio_18h	Ratio_24h	Ratio_30h
AC004041.2	-0.279123497570245	-0.385264086773709	-0.403301456182736	-0.0585068311046047	-0.26549114766349
AC004049.3	0.365977184836198	0.152214554954592	-0.0318877753528048	-0.0595104617355899	0.07682359118304
AC004051.1	-0.13787759531941	-0.2447898801937	-0.759870358665648	-0.718911622900257	-0.792860609371421
AC004057.1	0.770205864909395	-0.800990454521348	-0.381124323899448	0.0145994104957932	0.377134781234611
AC004066.1	-0.409685256075479	-0.0425162987087295	-0.628758559456104	-0.140301802189859	-0.720485486904768
AC004067.4	-0.26713260154855	0.300789381546037	-0.567311899117024	0.345050240908556	0.0118320093118327
AC004074.3	-0.377755379005052	-0.365185502500769	-0.619801854068889	-0.273090285544187	-0.305457447677094
AC004086.1	-0.029871509179984	-0.296132290836277	-0.370395002720258	0.0132612374424744	-0.377710352450503
AC004148.1	0.552275776167386	0.0751415163297099	0.910631606440583	-0.0264253266388545	0.373552486190752
AC004223.1	-0.545609433844872	-0.599504426186464	-0.597907164948801	-0.123381120193125	-1.1713958818899
AC004381.6	0.434715862286173	0.527463363617469	0.433404958506216	0.350720884080982	0.0820457559754074
AC004383.4	0.607544581764715	0.494702153272482	0.57072236078261	0.403678165137868	0.752402168946655
AC004410.1	0.473693165880824	0.141573382162198	0.477586676238245	-0.0416077513112013	0.615432677122881
AC004447.1	0.463227067335838	-0.141898457014373	0.352426535129025	0.120811850748279	0.394749638960824
AC004448.3	0.265082625884361	-0.366569564023897	-0.300618434383185	-0.206594028752438	-0.144439211807935
AC004449.1	-0.167777669660556	-0.706188014648883	0.824208789960412	0.497521058458247	0.6534771273138
AC004453.8	-0.0088147189206296	-0.160042520386728	-0.430364706831056	0.177514947342303	-0.26901659020076
AC004460.1	-0.346062923086525	-0.222978794134907	-0.245770661347252	-0.351256074242409	-0.149912225092805
AC004507.1	-0.296405649983382	0.359267728989773	0.189055884972132	0.155935229785048	0.633193542726815
AC004593.3	0.200533896935633	-0.0834260528945494	-0.0472758579378497	0.163959993295057	-0.403712429369067
AC004596.2	0.446642250560198	0.98289564978065	0.722197683893745	0.160392541958968	0.43781161423554
AC004687.1	-0.358119185827151	-0.320911858226296	0.113827213625347	-0.579102985422617	-0.447881343339895
AC004771.1	0.340629514715446	-0.736446906296581	-0.0277695747298899	-1.63829915408797	0.36547787139094
AC004797.1	-0.40808279512415	-0.405260414902947	-0.482056307906675	-0.282040367949308	-0.6336154933702
AC004803.1	0.752525984270198	0.765049523866529	0.29391953813563	0.459053940349655	0.519628078143338
AC004841.1	-0.384146609977116	-0.162419656658442	0.700149354337577	1.01202487271564	0.446798890623922
AC004863.6	0.136997257815418	0.0624007819907698	0.355537745579021	-0.017095144733543	0.127795121889084
AC004893.11	-0.285489967738629	-0.646647582520167	0.423681499120721	-0.0186657405793988	0.390845592908411
AC004967.8	0.199254097323099	0.123470472706344	0.635213793990547	0.46447013898925	0.523029655461304
AC004980.7	-0.121072116415265	-0.0322676804605905	0.468622014517418	-0.353588722964737	0.194155742476998
AC004985.13	-0.105078147979021	-0.131815388455074	0.0911192488568619	0.00313150243326284	0.319376149786605
AC004987.9	0.293125840163462	0.625552373720974	0.617201861287187	0.126706897523776	0.342524748054364
AC005035.1	-0.346847871674931	-0.428625795851067	-0.0662755288826876	0.198427406440847	-0.128768692407878
AC005076.5	0.666702019658716	0.5941748539181	0.440765722352636	0.828715859842355	0.621046626425013
AC005077.14	0.319996130589757	0.982855341666259	1.00418682266698	0.0318112892099903	0.350653018171404
AC005154.6	0.0432714027546858	0.905693206635615	0.54529803517801	0.319831716882185	-0.0943272418150361
AC005197.1	0.505521621909893	0.203985186593925	0.485583996113808	-0.0742304187437078	0.450849185186148
AC005224.2	-0.709439539235688	0.0892938274241538	0.120311546680191	0.0523969013579054	0.277527512721874
AC005251.3	-0.347300088368103	-0.271393774134573	-0.383304802816519	0.132079624421791	-0.29129084836142
AC005258.1	0.0607952445727963	-0.26134146703323	0.0855917944099271	-0.111931495203023	0.337454578738302
AC005304.2	0.376269630146345	0.422473136061649	0.462057009589844	0.299383039600293	0.722882657019207
AC005307.1	-0.192604240022038	-0.137287685331403	-0.141831522300752	-0.0332352651052324	0.0108151546352588
AC005324.4	-0.106241428044115	-0.521313609061875	-0.437653591164838	-0.434698580124497	0.051788422618741
AC005329.2	-0.119229887710324	-0.541958951926017	-0.225849254440164	-0.310985222588939	0.266623225723477
AC005332.1	0.486611046338177	1.14421228888871	1.22931357943836	0.757393451755538	0.834798575527361
AC005332.2	-0.244911506523722	0.381093576253168	0.624607873655493	0.432422258057366	0.343236912635575
AC005412.1	-0.597478759422383	-0.125296670923384	-0.539442286385176	-0.342519382968441	-0.840786034835494
AC005481.5	0.901292374476682	1.04123996814593	1.32412056712693	0.829588843922846	0.588884172479426
AC005484.1	-0.16527311197527	0.316745506186108	0.759936201199683	0.352696449810798	0.188457120013281
AC005594.2	0.472463493525964	0.304284289534649	0.164767026831868	-0.0457663675999986	0.342681059182147
AC005674.1	-0.13511801144962	0.332836166074068	0.642402802882372	0.260526743999934	-0.12550650144534
AC005682.5	-0.585674248678458	-1.07705117620334	-0.6245655538157	-0.322372063862151	-0.726692082131348
AC005682.6	-0.254997686826199	-1.05489226321568	-0.358017884415476	0.0257151847947658	-0.536572351125869
AC005726.11	0.257401848574827	-0.110369082673617	-0.0862954992935119	0.0325504617853472	-0.0564385516790726
AC005726.6	0.0644724535223141	-0.328296553657856	-0.0479582100702375	-0.326139291984436	-0.218251908026849
AC005768.1	-0.862245072184012	0.0996924939494427	-0.175403076635533	-0.507392137931722	-0.714437974065509
AC005795.1	-0.125894736422738	0.144534613998487	0.42961490348986	0.0426633370824618	0.285978971713967
AC005822.1	-0.409379552846792	-0.132334288199591	-0.0340059462423722	-0.252052065535452	-0.313353238607119
AC005840.2	0.373884156260215	0.261282336052544	0.464388054408715	0.257195506787167	0.655319152521446
AC005884.1	0.0973779979049771	-0.0733320805357063	0.307796798523209	0.0614651123781946	-0.424473166466045
AC005971.1	0.281753218806683	-0.192745960890733	0.285935876020072	0.376052460265553	-0.0170902721136257
AC005971.3	-0.344945589619375	-0.322885935625529	-0.624480919972574	-0.152932715570649	-0.654273724540331
AC006026.9	-0.645195711999593	-0.470152806848428	-0.509920987652788	-0.853776435676834	-0.556349644833038
AC006028.9	1.33634970030571	2.48759078299616	2.29412518617248	1.61733191491627	1.84845006770353
AC006064.1	0.00389630068521293	-0.686504590463308	-0.647966806168808	-0.567355809480813	-0.371801271733935
AC006160.1	-0.189962517747388	-0.643899235995332	-0.275284613471105	-0.161332156951128	-0.375437950969558
AC006207.1	-0.488791156868235	-0.674096318542928	-0.386756053724617	-0.401967992593397	-0.600126521822111
AC006230.3	-0.0308192141228306	-0.528030811557559	-0.213649701431592	-0.360833221783443	-0.211357307003619
AC006276.1	0.612362109757424	0.290860578557893	0.0633676485277599	0.328658452556987	0.240709787677818
AC006427.1	0.528353086227412	0.09693064860652	-0.217858434400432	0.23707614961873	-0.0646929716213777
AC006435.1	0.301552597744878	-0.396873621071491	-0.0630737903497776	-0.0282311812489052	0.303907731150777
AC006465.3	-0.136137961757637	0.16106566833425	-0.0154598125408643	0.170675911962329	-0.181819377481496
AC006486.1	0.11776070964554	0.919988297656947	0.828211125802418	-0.12525115663627	0.603027060958946
AC006504.1	0.14566857690438	-0.106253659621121	0.314872036681401	-0.185933093169673	0.170071030645859
AC006504.2	0.0786188239764615	0.0625878439210465	-0.026263622058016	0.248122631696675	-0.118383087654132
AC006504.3	0.0985476592388758	0.237580280135504	0.363581341560595	-0.194452101560753	0.156083659648034
AC006547.13	0.348538607739433	0.64353546382455	0.941015157085582	0.076743848418158	0.352323126131445
AC006978.6	0.134238497915188	-0.405737478105908	-0.207140644137951	0.120495456767255	0.176802955948694
AC007038.7	-0.106385480223667	0.230078139158663	0.307148466938471	-0.291551622223159	-0.440215626319624
AC007040.7	1.60708368257704	0.809637523221281	0.337656637598883	0.810276226781312	0.74060570177647
AC007041.2	-0.49254121003414	-0.400767619386117	-0.603267345085501	0.189179864082246	-0.350062806738445
AC007066.1	0.453221422853838	0.542684167625565	0.0652362279064893	-0.465089898637311	-0.654962058616049
AC007099.1	0.433393060235758	2.47847151372919	2.95516368210519	3.30164640495818	3.3213641922581
AC007128.1	-0.0659978355162477	0.35110574832544	0.244530451878031	-0.301566109598764	0.152281805769697
AC007238.1	-0.160574171437723	0.00960715231426585	-0.20168723710456	0.0351159976408955	-0.216980592580486
AC007245.1	0.726908609410023	1.09677410443621	0.632598446249969	0.402619104177691	0.231023138828598
AC007246.3	0.421288482810747	0.799583045417703	0.697307570104084	1.75124018356196	1.76685438829627
AC007254.3	-0.464685213670858	-0.746640506269682	-0.824576271580609	-1.10304210111652	-1.60548219045196
AC007256.5	-0.237406523933105	0.427322634097488	0.0219449593006048	-0.441745027028889	-0.162541045466338
AC007272.2	-0.690149427840201	-0.80508636778091	-0.285386108266447	-0.376384871405548	-0.60452981264256
AC007276.4	0.432806071895178	0.149006808457894	0.151646865416173	-0.360170484929425	0.416853436241464
AC007276.5	-0.07919155520905	-0.121941341148731	0.0449293240769986	-0.955949500770355	-0.0774905841460629
AC007283.5	-0.079147536331437	0.550473194968818	0.272388310229377	-0.0466906835716397	-0.308239229896365
AC007314.1	-0.453128301287132	-0.538908584330575	0.455532565639897	-0.0707091342917027	-0.308042704429722
AC007318.5	-0.316876668911864	-0.4767461261579	-0.463463183283119	-0.182062611355384	-0.466310832570509
AC007383.3	0.917424221619287	1.08420126932927	0.704896450209804	-0.196741476695434	-0.287763241956654
AC007383.4	-0.0601609155666105	-0.452053072520975	0.117951849169768	0.213943084499957	-0.334772636469975
AC007390.5	-0.271481310400658	-0.212688554984827	0.0618693344479586	0.347907904526103	-0.194786692119749
AC007405.6	1.2355399716516	1.28066173854142	2.25271353473848	1.90670510168779	1.26384144710512
AC007618.1	0.169051929011126	0.56742231906119	0.143265204907084	0.421076125132325	0.0913730910293642
AC007620.3	0.176075387627621	-0.0372606003700292	0.0286130493504372	0.249468844003679	0.083439812918699
AC007842.1	0.371762569335803	-0.0133602921940377	0.0956008358710118	0.20642692478029	0.480864710611968
AC007938.1	0.162533161620772	-0.0372521105458823	0.0457439320173466	0.250655401714973	-0.580172391304479
AC007938.2	0.455414953653642	0.804194403773587	0.702979616411975	0.972546066775449	0.921435051613424
AC007969.5	0.561044927206225	-0.0758610585572897	0.16729290259604	0.100343105447068	0.241686420382412
AC008013.2	0.0972358688230956	0.151691650795315	0.280474432428414	0.609855708836887	0.186058545985473
AC008038.1	-0.124570536863958	-0.134508539344522	-0.275512033829006	0.0568877670735572	-0.358551923784932
AC008073.5	-0.205814572414414	-0.0416891710516253	-0.249902618751813	0.156135854627402	-0.238066786406814
AC008074.1	-0.0661691569703112	0.158781248897912	0.563742100924363	0.712722583708755	0.402977635727517
AC008105.1	0.287253101094702	0.801342337212649	0.652885836301364	0.516126622287038	0.129636950267609
AC008122.2	-0.37676110300978	-0.634188771342531	-0.0778106940605835	0.0877004951523549	0.0169740077341797
AC008132.12	-0.681142262604742	-0.46424405559718	-0.182247535069662	-0.259724674680226	-0.351056289896006
AC008268.3	0.41203865271389	0.500688101534518	0.302669995053433	0.283528085671488	0.713434410270271
AC008280.5	0.340698621443819	0.309127684584705	1.13700577349983	0.68628804483563	-0.0531475494710743
AC008392.1	-0.24748233418957	0.298947005423212	0.0819619881320843	-0.293391040906215	-0.503336994766832
AC008494.1	0.930476158759964	1.06392764852895	0.237899084369499	0.171213409849782	0.161964339171437
AC008555.3	-0.0734574087478459	1.52196260717544	0.764257078496352	0.117796969041882	0.187548829284897
AC008567.1	-0.329150405098977	-0.172564861521591	-0.256303402846222	-0.0109658057309684	-0.0933511998306904
AC008733.3	0.736420727047183	0.960166166807165	1.12533245550629	0.406848065838697	0.398567623202504
AC008735.1	0.35912791814471	-0.0651018775501315	-0.396461095906271	-0.386548573148429	0.0934273273801945
AC008746.11	1.0793376996967	0.929694069053015	0.875423191555243	0.0797768266260516	-0.00420577313228431
AC008759.1	-0.014455143903556	0.284676147348226	0.68186476442151	1.0038862469319	0.701122873906068
AC008763.1	0.181092746272572	0.308127498832376	-0.110790475583034	0.28260403527243	0.27561353076446
AC008870.1	-1.26131837039685	-0.723322944197966	-0.449519329550762	-0.804262046601863	-0.407521384159552
AC008969.1	0.996613704716032	1.18959836669168	1.2080136175536	0.433620566884271	0.187706734525483
AC009041.3	0.642329507276874	0.146846439490701	0.483680572984907	0.468908343738611	0.903367865264128
AC009052.1	-0.409766548814392	0.0410610172432294	0.200981206287098	-0.598999916286371	-0.576284490297405
AC009053.2	-0.0160053751812713	0.188926786506539	-0.131680234425038	0.0500585852899157	0.294328475536207
AC009060.2	-0.843741610212573	-0.835336597390359	-0.636055972788669	-0.522466712647274	-0.359565775748231
AC009060.3	-0.00115949122766446	-0.227370849867856	0.318383900357218	-0.0841544856829183	0.303747441593139
AC009065.4	-0.432613962025084	-0.0924083899299164	0.10049073977872	-0.830009901342147	-0.355873700271602
AC009086.1	-0.479685627031526	-0.904941175846591	-0.524285382876264	-0.74198393699951	-0.56321938800687
AC009086.2	-0.319470709951173	-1.32818915516323	-0.274372173362231	-1.44738913322823	0.0546374542163044
AC009086.4	-0.784290143309229	-1.28180958622219	-0.615865173690474	-0.429445635303335	-0.639687338912166
AC009127.1	-0.162748786905592	0.0803455871402223	0.468070918601927	-0.380424724513459	-0.25667972417207
AC009133.4	-0.600163548169168	-0.612285283102716	-1.16734015934834	0.0350943155081802	-0.324517826811668
AC009171.1	0.932235005451826	1.88145547020485	1.25157490371253	0.930749577486663	0.513154363455077
AC009237.1	0.577007807109336	0.464510489848595	0.176970569364222	-0.248818661756426	0.0980219003136461
AC009237.8	0.673969450133742	0.462906179320923	0.728837056621697	0.435207269158512	0.874402053682196
AC009245.3	0.372462963965978	-0.358406466805413	0.000622505618418652	-0.0578173146119629	0.119273799429399
AC009299.2	0.0128160884418695	1.06516921443045	0.783445053413136	0.877104655469927	-0.031268133327184
AC009299.3	0.297763698455331	0.501857554268238	0.462164216865305	0.387572571400915	-0.281362823801169
AC009302.2	-0.233255968436371	-0.438763120435822	-0.460154583324692	0.19580531789099	-0.396700788653337
AC009403.2	0.519986390741096	0.0273668761739589	0.157860491181898	0.127346933346981	0.251732249090043
AC009404.2	-0.494336334260167	-0.470713852111067	-0.0773630124438606	-0.520987038153178	-0.125736895753256
AC009487.6	-0.584764864754717	-0.265577028377849	-0.566572923721638	-0.901801773294822	-0.660581743967635
AC009533.2	0.35992567631027	0.342461906064289	0.307556851497909	0.000192123283919599	0.485957065414988
AC009570.1	0.421356110779689	0.868030080358058	0.72845007311978	0.284376993492788	0.439294349430823
AC009690.2	0.2306791995003	0.275705397277626	0.448488213491684	0.333984795297599	0.283782419258458
AC009712.2	0.22579256292069	-0.210278350606628	0.343662827962036	-0.261617997052145	0.631245605177472
AC009948.5	0.0357252534281683	0.756744084751341	0.474332894564279	0.192533881302022	0.0483974386590839
AC009948.7	-0.0331271169702982	-0.798626986412787	-0.325656455124711	0.0188983063149309	-0.117696806700178
AC009996.1	0.719960793237513	0.856249616284766	0.66072472023891	0.324919424930454	0.0699870226364696
AC010093.1	-0.402887107490534	-0.257936824840343	-0.482005432525357	-0.119479692134876	-0.632883985563252
AC010132.9	-0.490807569480131	-0.851533908965063	-1.04537219393064	-0.480063735729463	-0.934406230928591
AC010149.3	-0.48483087615865	-0.178786570630959	-0.350337299157571	-0.443063881409698	-0.718677877762085
AC010203.2	0.0237591117856481	0.128293114766738	0.0890614385514857	0.250228113907429	0.0869479199253929
AC010326.2	0.0542583830811781	-0.148564091842391	0.0270010157276263	-0.652189389119871	-0.0269496831010646
AC010326.5	-0.101847046903797	-0.0292775252925598	0.110153511546016	-0.327824925492314	-0.12453269862107
AC010332.1	-0.190804195114122	0.685964715189197	1.49996376054413	1.85175955278148	1.24200191712402
AC010442.1	0.707535748329603	1.1682161712484	0.832500588271255	0.60793879345698	1.51362290652656
AC010468.1	-0.483087384509973	-0.183855854376199	-0.565614693969681	-0.0182398110977893	-0.732211986040558
AC010491.1	0.102560249169417	0.149273842679017	0.527398677384019	0.277136899116259	0.233895363572869
AC010522.1	0.00597116261778604	-0.21623687046443	-0.00425750513462107	-0.639793548702336	-0.905958055207304
AC010522.2	-0.10806370217186	-0.443147617976006	-0.654016044745143	0.0485189426731136	-0.0400692837522522
AC010531.3	0.420217964874112	0.688732863478899	0.61036925648805	0.704720205597972	1.30264994301769
AC010536.1	0.193232842938482	-0.235241442200653	-0.0318172502233494	-0.328883800153771	-0.0426294981281577
AC010609.3	0.181786934698056	0.213976563097249	0.230557741569107	0.0427948837555381	0.185470685400973
AC010616.2	-0.0419423065250754	1.53880130116549	0.918430521238953	1.04999970380037	1.29789021413368
AC010619.1	0.191907349855563	-0.122895970893198	-0.346589218347222	0.100527967807768	-0.216196659733115
AC010627.1	-0.469969620012527	-0.26994026589479	-0.363440183977705	0.108511099309445	-0.513487786937447
AC010733.1	-0.360414877902342	-0.0786175130174865	0.0930447849970751	-1.19059558512043	-0.494057006848765
AC011043.2	0.337892837903742	0.290900192870557	-0.321372075000788	-0.0305141080599702	-0.121746728835862
AC011139.1	-0.335248123543719	-0.323768254502513	-0.303287392773705	0.0703988034161731	-0.444100152487158
AC011247.2	-0.0232315596938108	-0.102870738252335	-0.324822399086767	-0.159673331129674	-0.225844012939144
AC011322.1	0.667583433913316	0.553262381103972	0.701481604055466	0.0972660785600357	0.256883035737845
AC011452.1	0.534012051566747	0.979855784063272	0.093628689450978	-0.416023606864416	0.405334633783062
AC011466.2	1.03517309057019	0.892208063381374	1.10251130207728	0.0744113964682382	-0.222858002699565
AC011471.1	0.573591223182823	1.65019661986679	0.254644955755896	0.292725595372226	0.516454289888531
AC011477.1	-0.500504526055168	-0.22988290570432	-0.0914859569995686	-0.238481599876183	-0.416447494975548
AC011477.2	0.740137978947514	0.81267765662749	0.922109357696984	1.11911001212596	1.02990808792743
AC011479.1	0.278757718052886	-0.510988858407406	-0.421723451001364	-0.186449070499529	0.395549935261684
AC011498.2	0.174284521789961	-0.170315918885455	-0.0309862295784492	-0.0955078621697234	0.288051219917587
AC011533.1	-0.320722115647279	-0.378747864845711	-0.654251336364228	0.128080117619432	-0.337796416420565
AC011551.1	0.144815919404608	-0.481427880278461	-0.967350042477899	-0.861079931366906	-0.834210817603649
AC011738.4	2.08397109142446	3.05313057695671	1.40008874393521	1.50040455603195	0.766353973435666
AC011815.1	0.888956167291816	0.584432896622032	0.61288159843548	0.409848604364278	-0.151622391071696
AC011841.5	0.0308456259756838	0.28558247484114	0.347220671521389	0.847088427740471	0.166572731097895
AC011841.7	-0.280275607640005	0.465362928724759	0.320915094022167	0.286198191576807	0.354453010728394
AC011893.3	-1.29666762157753	-1.46621845303414	-1.39742554110161	-1.11257789278677	-1.40992810901849
AC011912.1	-0.827925582994734	-0.404181519507173	-0.527584632078112	-1.67945652131052	-0.226133387258697
AC012066.1	-0.225288606678571	-0.529565312721545	-0.2059261989271	0.0568239975466509	0.00338829500649738
AC012100.1	-0.156895544646289	0.413858403110429	0.123622873700098	0.228870428582035	-0.245738766364136
AC012146.7	0.487625204235555	0.545013527239805	0.582632190956866	0.920550463776708	0.614981718000893
AC012170.2	0.351643661338431	0.544225241398417	1.07359381750514	0.0777859119636725	-0.0905943283527086
AC012184.1	0.22457511679089	0.466330135993762	0.608564334474729	0.689736035204978	0.631014456094994
AC012307.3	-0.0770629585036162	-0.418955682095986	0.00289805814812847	-0.0712848817383322	-0.216678587306787
